,,,,,,,,,,art,art,art,art,bus,bus,bus,bus,cs,cs,cs,cs,econ,econ,econ,econ,edu,edu,edu,edu,eng,eng,eng,eng,humanities,humanities,humanities,humanities,lifesci,lifesci,lifesci,lifesci,math,math,math,math,nurse,nurse,nurse,nurse,polisci,polisci,polisci,polisci,social,social,social,social
numMajors,Rank - Overall without aid,School Name,Grad Rate,2013 Cost (?),20 Year Net ROI (?),Annual ROI (?),2013 Cost (?) - with aid,20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid,20 Year Net ROI (?),Annual ROI (?),20 Year Net ROI (?) - with aid,Annual ROI (?) - with aid
6,1,Harvey Mudd College ,88%,"$229,500 ","$980,900 ",8.80%,"$116,800 ","$1,094,000 ",12.60%,,,,,,,,,"$1,322,000 ",10.20%,"$1,435,000 ",14.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,California Institute of Technology (Caltech) ,92%,"$220,400 ","$837,600 ",8.30%,"$89,460 ","$968,500 ",13.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,Massachusetts Institute of Technology (MIT) ,93%,"$223,400 ","$831,100 ",8.20%,"$80,710 ","$973,800 ",13.90%,,,,,,,,,"$1,174,000 ",9.80%,"$1,316,000 ",15.50%,,,,,,,,,"$792,600 ",8.00%,"$935,300 ",13.70%,,,,,,,,,,,,,,,,,,,,,,,,
12,4,Stanford University ,95%,"$236,300 ","$789,500 ",7.80%,"$74,870 ","$950,800 ",14.20%,,,,,,,,,"$1,557,000 ",10.80%,"$1,718,000 ",17.40%,"$1,140,000 ",9.40%,"$1,302,000 ",15.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,Colorado School of Mines (In-State),67%,"$114,200 ","$783,400 ",11.00%,"$77,350 ","$820,200 ",13.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,Georgia Institute of Technology (In-State),79%,"$92,250 ","$755,600 ",11.90%,"$37,350 ","$810,500 ",17.10%,,,,,,,,,"$912,700 ",12.90%,"$967,600 ",18.10%,,,,,,,,,"$776,400 ",12.00%,"$831,300 ",17.20%,,,,,,,,,,,,,,,,,,,,,,,,
12,7,Rose-Hulman Institute of Technology (RHIT) ,76%,"$217,400 ","$736,200 ",7.80%,"$138,200 ","$815,400 ",10.30%,,,,,,,,,"$681,100 ",7.50%,"$760,300 ",10.00%,,,,,,,,,"$691,800 ",7.60%,"$771,000 ",10.10%,,,,,,,,,,,,,,,,,,,,,,,,
12,8,Polytechnic Institute of New York University (NYU-Poly) ,62%,"$223,900 ","$724,500 ",7.70%,"$124,300 ","$824,000 ",10.90%,,,,,,,,,"$950,400 ",8.80%,"$1,050,000 ",12.10%,,,,,,,,,"$686,300 ",7.40%,"$785,900 ",10.60%,,,,,,,,,,,,,,,,,,,,,,,,
6,9,Stevens Institute of Technology ,78%,"$250,900 ","$722,400 ",7.20%,"$134,800 ","$838,500 ",10.60%,,,,,,,,,,,,,,,,,,,,,"$655,400 ",6.80%,"$771,500 ",10.20%,,,,,,,,,,,,,,,,,,,,,,,,
