numMajors,Rank,School,Grad Rate,2013cost,all_20netroi,all_annualroi,2013cost_aid,all_20netroi_aid,all_annualroi_aid,art_20netroi,art_annualroi,art_20netroi_aid,art_annualroi_aid,bus_20netroi,bus_annualroi,bus_20netroi_aid,bus_annualroi_aid,cs_20netroi,cs_annualroi,cs_20netroi_aid,cs_annualroi_aid,econ_20netroi,econ_annualroi,econ_20netroi_aid,econ_annualroi_aid,edu_20netroi,edu_annualroi,edu_20netroi_aid,edu_annualroi_aid,eng_20netroi,eng_annualroi,eng_20netroi_aid,eng_annualroi_aid,humanities_20netroi,humanities_annualroi,humanities_20netroi_aid,humanities_annualroi_aid,lifesci_20netroi,lifesci_annualroi,lifesci_20netroi_aid,lifesci_annualroi_aid,math_20netroi,math_annualroi,math_20netroi_aid,math_annualroi_aid,nurse_20netroi,nurse_annualroi,nurse_20netroi_aid,nurse_annualroi_aid,polisci_20netroi,polisci_annualroi,polisci_20netroi_aid,polisci_annualroi_aid,social_20netroi,social_annualroi,social_20netroi_aid,social_annualroi_aid
1,1,Harvey Mudd College ,0.88,229500,980900,0.088,116800,1094000,0.126,,,,,,,,,1322000,0.102,1435000,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,California Institute of Technology (Caltech) ,0.92,220400,837600,0.083,89460,968500,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Massachusetts Institute of Technology (MIT) ,0.93,223400,831100,0.082,80710,973800,0.139,,,,,,,,,1174000,0.098,1316000,0.155,,,,,,,,,792600,0.08,935300,0.137,,,,,,,,,,,,,,,,,,,,,,,,
2,4,Stanford University ,0.95,236300,789500,0.078,74870,950800,0.142,,,,,,,,,1557000,0.108,1718000,0.174,1140000,0.094,1302000,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,Colorado School of Mines (In-State),0.67,114200,783400,0.11,77350,820200,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,Georgia Institute of Technology (In-State),0.79,92250,755600,0.119,37350,810500,0.171,,,,,,,,,912700,0.129,967600,0.181,,,,,,,,,776400,0.12,831300,0.172,,,,,,,,,,,,,,,,,,,,,,,,
2,7,Rose-Hulman Institute of Technology (RHIT) ,0.76,217400,736200,0.078,138200,815400,0.103,,,,,,,,,681100,0.075,760300,0.1,,,,,,,,,691800,0.076,771000,0.101,,,,,,,,,,,,,,,,,,,,,,,,
2,8,Polytechnic Institute of New York University (NYU-Poly) ,0.62,223900,724500,0.077,124300,824000,0.109,,,,,,,,,950400,0.088,1050000,0.121,,,,,,,,,686300,0.074,785900,0.106,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Stevens Institute of Technology ,0.78,250900,722400,0.072,134800,838500,0.106,,,,,,,,,,,,,,,,,,,,,655400,0.068,771500,0.102,,,,,,,,,,,,,,,,,,,,,,,,
0,10,Colorado School of Mines (Out-Of-State),0.67,178500,719000,0.086,141700,755900,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,Babson College ,0.9,226100,716700,0.076,104700,838100,0.118,,,,,729000,0.076,850400,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,Massachusetts Maritime Academy (In-State),0.61,96560,702100,0.113,65150,733500,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,Princeton University ,0.96,217300,690800,0.076,78590,829600,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,Carnegie Mellon University (CMU) ,0.87,236200,678500,0.072,134700,780000,0.102,,,,,,,,,1081000,0.092,1183000,0.123,,,,,,,,,792300,0.078,893800,0.109,,,,,,,,,,,,,,,,,,,,,,,,
1,15,Manhattan College ,0.75,178300,675600,0.083,110100,743700,0.11,,,,,,,,,,,,,,,,,,,,,764400,0.089,832600,0.115,,,,,,,,,,,,,,,,,,,,,,,,
2,16,Georgia Institute of Technology (Out-Of-State),0.79,178500,669300,0.083,123600,724200,0.103,,,,,,,,,826400,0.092,881300,0.112,,,,,,,,,690100,0.084,745000,0.104,,,,,,,,,,,,,,,,,,,,,,,,
0,17,Dartmouth College ,0.96,233600,666000,0.071,77050,822600,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,Worcester Polytechnic Institute (WPI) ,0.84,220700,664900,0.074,145000,740500,0.096,,,,,,,,,964000,0.089,1040000,0.113,,,,,,,,,639700,0.072,715400,0.095,,,,,,,,,,,,,,,,,,,,,,,,
0,19,South Dakota School of Mines & Technology (In-State),0.55,90330,664400,0.114,71750,683000,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,Missouri University of Science and Technology (S&T) (In-State),0.65,98170,661000,0.109,61950,697200,0.135,,,,,,,,,804900,0.119,841100,0.145,,,,,,,,,674600,0.11,710800,0.136,,,,,,,,,,,,,,,,,,,,,,,,
0,21,South Dakota School of Mines & Technology (Out-Of-State),0.55,98700,656000,0.109,80120,674600,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,University of California - Berkeley (In-State),0.91,133900,654400,0.094,64210,724100,0.135,,,,,1036000,0.116,1105000,0.158,1484000,0.135,1553000,0.177,946800,0.112,1017000,0.153,,,,,1064000,0.118,1134000,0.159,,,,,556200,0.087,625900,0.128,,,,,,,,,462100,0.079,531800,0.12,,,,
1,23,Harvard University ,0.97,225700,650100,0.072,53910,821900,0.151,,,,,,,,,1142000,0.096,1314000,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,Illinois Institute of Technology (IIT) ,0.68,207300,642200,0.075,85170,764300,0.124,,,,,,,,,,,,,,,,,,,,,715100,0.079,837200,0.128,,,,,,,,,,,,,,,,,,,,,,,,
0,25,Massachusetts Maritime Academy (Out-Of-State),0.61,156900,641800,0.087,125500,673200,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,University of Pennsylvania ,0.96,230800,641100,0.07,84920,787000,0.125,,,,,,,,,,,,,821300,0.081,967200,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27,Santa Clara University ,0.86,224000,635400,0.071,147400,712000,0.094,,,,,660100,0.073,736600,0.095,,,,,664900,0.073,741500,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,Cooper Union for The Advancement of Science and Art ,0.81,232500,633500,0.07,65010,801000,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,Rice University ,0.92,200200,633400,0.076,76070,757500,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,Brown University ,0.95,228100,633000,0.07,91140,770000,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,Williams College ,0.96,226500,623500,0.07,65320,784700,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32,Columbia University ,0.95,236500,614300,0.068,81220,769600,0.126,322300,0.046,477700,0.103,,,,,1412000,0.104,1567000,0.164,739000,0.075,894300,0.134,,,,,957100,0.086,1112000,0.146,,,,,,,,,,,,,,,,,,,,,,,,
4,33,California Polytechnic State University (CalPoly) - San Luis Obispo (In-State),0.72,103600,611700,0.103,73170,642100,0.123,,,,,639200,0.105,669600,0.125,1010000,0.128,1041000,0.148,,,,,,,,,789700,0.116,820100,0.135,,,,,420600,0.086,451100,0.105,,,,,,,,,,,,,,,,
3,34,Rensselaer Polytechnic Institute (RPI) ,0.84,237900,607100,0.067,145600,699400,0.094,,,,,296300,0.043,388600,0.069,851100,0.081,943400,0.108,,,,,,,,,676100,0.071,768400,0.098,,,,,,,,,,,,,,,,,,,,,,,,
0,35,"Embry-Riddle Aeronautical University (ERAU) - Prescott, AZ ",0.55,192900,606200,0.075,147500,651500,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,Lafayette College ,0.91,220600,605500,0.07,92590,733400,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37,Missouri University of Science and Technology (S&T) (Out-Of-State),0.65,155800,603300,0.084,119600,639600,0.099,,,,,,,,,747300,0.094,783500,0.108,,,,,,,,,617000,0.085,653200,0.1,,,,,,,,,,,,,,,,,,,,,,,,
0,38,"Touro College - New York, NY",0.27,109800,592000,0.099,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39,Duke University ,0.95,230300,591500,0.067,94080,727800,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,40,Bucknell University ,0.9,225800,589500,0.068,112900,702500,0.106,,,,,208900,0.035,321800,0.071,,,,,,,,,,,,,690600,0.074,803600,0.112,,,,,,,,,,,,,,,,,,,,,,,,
1,41,Kettering University ,0.56,227500,589200,0.068,139600,677200,0.094,,,,,,,,,,,,,,,,,,,,,589400,0.068,677400,0.094,,,,,,,,,,,,,,,,,,,,,,,,
3,42,New Jersey Institute of Technology (NJIT) (In-State),0.54,137700,588500,0.088,77310,648900,0.12,,,,,443400,0.076,503800,0.108,791600,0.102,852000,0.134,,,,,,,,,674000,0.095,734400,0.127,,,,,,,,,,,,,,,,,,,,,,,,
0,43,New Mexico Institute of Mining and Technology (New Mexico Tech) (In-State),0.47,76410,588400,0.116,45900,619000,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,44,Texas A&M University - Main Campus (In-State),0.8,91040,566700,0.106,51820,605900,0.137,,,,,574900,0.106,614100,0.138,790800,0.122,830000,0.154,382300,0.088,421600,0.119,29430,0.016,68640,0.045,804500,0.123,843700,0.155,44090,0.022,83310,0.051,306300,0.078,345500,0.109,,,,,,,,,558800,0.105,598000,0.137,,,,
1,45,Saint Mary's College of California ,0.62,223200,562400,0.067,134600,651000,0.094,,,,,702400,0.075,790900,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46,Virginia Polytechnic Institute and State University (Virginia Tech) (In-State),0.83,97710,560900,0.102,67700,590900,0.122,293800,0.074,323800,0.093,439500,0.091,469500,0.111,980600,0.129,1011000,0.15,467300,0.093,497300,0.114,,,,,753700,0.116,783700,0.137,243300,0.066,273400,0.086,217600,0.062,247600,0.082,,,,,,,,,,,,,,,,
3,47,"Cornell University - Ithaca, NY ",0.93,227600,560400,0.066,91320,696600,0.116,,,,,659100,0.072,795400,0.122,946400,0.087,1083000,0.138,,,,,,,,,839800,0.082,976100,0.133,,,,,,,,,,,,,,,,,,,,,,,,
0,48,Yale University ,0.96,230100,559600,0.065,67690,722000,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49 (tie),California Polytechnic State University (CalPoly) - San Luis Obispo (Out-Of-State),0.72,156000,559300,0.081,125500,589800,0.093,,,,,586800,0.083,617300,0.095,957800,0.105,988300,0.117,,,,,,,,,737300,0.093,767800,0.105,,,,,368300,0.064,398700,0.076,,,,,,,,,,,,,,,,
0,49 (tie),Montana Tech of The University of Montana (In-State),0.48,81990,559300,0.11,55740,585500,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,Washington and Lee University ,0.9,216800,558900,0.068,71740,703900,0.128,,,,,807000,0.082,952100,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,52,University of Notre Dame ,0.95,221200,558200,0.067,97750,681600,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,53,University of California - Berkeley (Out-Of-State),0.91,231800,556600,0.065,162100,626300,0.084,,,,,937700,0.086,1007000,0.106,1386000,0.104,1456000,0.124,848900,0.082,918700,0.101,,,,,966500,0.087,1036000,0.107,,,,,458300,0.058,528000,0.077,,,,,,,,,364200,0.05,433900,0.069,,,,
1,54 (tie),Johns Hopkins University ,0.92,229100,555000,0.065,88590,695500,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335700,0.048,476200,0.099,,,,,,,,
1,54 (tie),Michigan Technological University (In-State),0.66,112200,555000,0.095,63650,603500,0.126,,,,,,,,,,,,,,,,,,,,,615600,0.1,664100,0.131,,,,,,,,,,,,,,,,,,,,,,,,
5,56,University of Virginia (UVA) - Main Campus (In-State),0.93,94300,550700,0.103,25880,619100,0.176,,,,,833100,0.123,901500,0.198,1239000,0.143,1307000,0.22,701000,0.114,769400,0.189,,,,,929400,0.128,997800,0.204,267200,0.071,335600,0.143,,,,,,,,,,,,,,,,,,,,
7,57,University of California - San Diego (UCSD) (In-State),0.86,122100,549700,0.091,52350,619500,0.138,340500,0.071,410300,0.117,577300,0.093,647100,0.14,1090000,0.123,1159000,0.172,487800,0.085,557600,0.132,,,,,943800,0.116,1014000,0.165,,,,,366900,0.074,436700,0.12,,,,,,,,,225100,0.055,294900,0.101,,,,
1,58,Colgate University ,0.9,223600,543200,0.065,76450,690300,0.124,,,,,,,,,,,,,866900,0.084,1014000,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,59,University of Massachusetts (UMass) - Lowell Campus (In-State),0.54,103800,542700,0.098,67850,578700,0.121,,,,,345700,0.078,381700,0.101,,,,,,,,,,,,,785900,0.115,821900,0.139,,,,,,,,,,,,,,,,,,,,,,,,
0,60,New Mexico Institute of Mining and Technology (New Mexico Tech) (Out-Of-State),0.47,122600,542300,0.09,92060,572800,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,61,University of Illinois at Urbana-Champaign (UIUC) (In-State),0.84,113200,541600,0.093,65240,589500,0.124,164600,0.048,212500,0.077,601300,0.098,649300,0.129,872300,0.116,920300,0.147,540200,0.093,588100,0.124,,,,,754200,0.109,802200,0.14,197500,0.053,245500,0.083,470400,0.087,518300,0.118,,,,,,,,,332000,0.073,379900,0.103,,,,
3,62,New Jersey Institute of Technology (NJIT) (Out-Of-State),0.54,189400,536800,0.071,129000,597200,0.092,,,,,391700,0.059,452200,0.08,739900,0.085,800300,0.106,,,,,,,,,622300,0.077,682800,0.098,,,,,,,,,,,,,,,,,,,,,,,,
2,63,Milwaukee School of Engineering ,0.56,192900,536000,0.07,106500,622400,0.103,,,,,441900,0.063,528300,0.095,,,,,,,,,,,,,547100,0.071,633500,0.104,,,,,,,,,,,,,,,,,,,,,,,,
1,64,"Embry-Riddle Aeronautical University (ERAU) - Daytona Beach, FL ",0.58,195700,535700,0.07,152600,578900,0.083,,,,,473500,0.065,516600,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,65,Brigham Young University (BYU) ,0.77,80170,534500,0.109,59060,555600,0.126,222300,0.07,243400,0.087,595500,0.114,616600,0.131,916400,0.136,937500,0.154,,,,,,,,,741800,0.125,763000,0.143,,,,,,,,,,,,,,,,,497500,0.106,518600,0.123,,,,
9,66,University of Michigan - Ann Arbor (In-State),0.91,103200,529500,0.097,47490,585200,0.14,228600,0.062,284200,0.104,537300,0.097,593000,0.141,991300,0.127,1047000,0.172,608700,0.103,664400,0.147,,,,,775800,0.115,831500,0.159,325200,0.076,380900,0.118,160800,0.05,216500,0.091,,,,,485700,0.093,541400,0.136,372500,0.081,428200,0.124,,,,
1,67,Wake Forest University ,0.87,223000,529400,0.064,128500,624000,0.094,,,,,553600,0.066,648200,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,Case Western Reserve University ,0.78,221600,528100,0.065,111700,638000,0.102,,,,,,,,,591200,0.069,701100,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,69,Lehigh University ,0.88,219200,526900,0.065,101500,644600,0.107,,,,,665600,0.074,783400,0.116,,,,,,,,,,,,,583900,0.069,701600,0.111,,,,,,,,,,,,,,,,,,,,,,,,
1,70,Tufts University ,0.92,226300,521500,0.063,108400,639400,0.103,,,,,,,,,,,,,145400,0.027,263300,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,71,Purdue University - Main Campus (In-State),0.69,98290,519300,0.098,53830,563800,0.132,95600,0.036,140100,0.068,434000,0.09,478400,0.123,539200,0.1,583600,0.133,,,,,-59000,-0.043,-14500,-0.014,758600,0.116,803100,0.15,,,,,372500,0.083,416900,0.116,,,,,333200,0.079,377600,0.111,212600,0.061,257000,0.093,,,,
1,72,Bentley University ,0.84,213200,514200,0.065,117600,609800,0.097,,,,,553600,0.068,649200,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,73,Washington University in St. Louis ,0.94,234600,513500,0.061,127900,620100,0.094,133600,0.024,240300,0.056,399600,0.053,506300,0.085,910800,0.084,1017000,0.118,,,,,,,,,698300,0.073,804900,0.106,,,,,,,,,,,,,,,,,,,,,,,,
3,74,California State Polytechnic University - Pomona (In-State),0.51,97070,511100,0.098,51410,556800,0.133,,,,,402900,0.087,448500,0.122,734800,0.115,780500,0.151,,,,,,,,,693400,0.112,739100,0.148,,,,,,,,,,,,,,,,,,,,,,,,
2,75,The College of William and Mary (In-State),0.9,98400,509300,0.097,39590,568100,0.148,,,,,,,,,876300,0.123,935200,0.176,,,,,,,,,,,,,133800,0.046,192600,0.094,,,,,,,,,,,,,,,,,,,,
1,76,Vanderbilt University ,0.92,232600,509100,0.061,74980,666800,0.123,,,,,,,,,,,,,629900,0.069,787600,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,77,"Clarkson University - Potsdam, NY ",0.7,215100,508600,0.064,102400,621200,0.104,,,,,356700,0.052,469400,0.092,,,,,,,,,,,,,518400,0.065,631100,0.105,,,,,,,,,,,,,,,,,,,,,,,,
